Carimbo de data/hora,Nome da Instituição:,CNES:,Data:,Responsável pelo preenchimento:,Quantidade de leitos clínicos SUS totais:,Quantidade de leitos clínicos SUS ocupados:,Quantidade de leitos clínicos convênios/particulares totais:,Quantidade de leitos clínicos convênios/particulares ocupados:,Quantidade de leitos cirúrgicos SUS totais:,Quantidade de leitos cirúrgicos SUS ocupados:,Quantidade de leitos cirúrgicos convênios/particulares totais:,Quantidade de leitos cirúrgicos convênios/particulares ocupados:,Quantidade de leitos pediátricos SUS totais:,Quantidade de leitos pediátricos SUS ocupados:,Quantidade de leitos pediátricos convênios/particulares totais:,Quantidade de leitos pediátricos convênios/particulares ocupados:,Quantidade de leitos de UTIA SUS totais:,Quantidade de leitos de UTIA SUS ocupados:,Quantidade de leitos de UTIA convênios/particulares totais:,Quantidade de leitos de UTIA convênios/particulares ocupados:,Quantidade de leitos de UTI Neo e Ped SUS totais:,Quantidade de leitos de UTI Neo e Ped SUS ocupados:,Quantidade de leitos de UTI Neo e Ped convênios/particulares totais:,Quantidade de leitos de UTI Neo e Ped convênios/particulares ocupados:,Quantidade de leitos de GO/obstetrícia SUS totais:,Quantidade de leitos de GO/obstetrícia SUS ocupados:,Quantidade de leitos de GO/obstetrícia convênios/particulares totais:,Quantidade de leitos de GO/obstetrícia convênios/particulares ocupados:,Quantidade de pacientes em isolamento que necessitam de quarto privativo (ex.: quartos com 02 leitos ocupados com apenas 01 paciente em isolamento):,Quantidade de leitos de UCINCo/UCINCa SUS totais:,Quantidade de leitos de UCINCo/UCINCa convênios/particulares ocupados:,Quantidade de leitos de UCINCo/UCINCa SUS ocupados:,Quantidade de leitos de UCINCo/UCINCa convênios/particulares totais:,Anexar censo diário por tipo de clínica (censo hospitalar gerado pelo sistema utilizado na instituição):,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6
23/06/2025 13:16:00,SANTA CASA DE MISERICORDIA DE SÃƒO JOAQUIM DA BARRA,2080044,23.06.2025,,44,25,16,6,10,6,7,7,4,2,2,0,8,8,2,2,0,0,0,0,12,0,8,0,,0,0,0,0,https://drive.google.com/open?id=1vCSJyiPbuE_q3GQ7oRvwd5h4z77AQING,,,,,,
23/06/2025 14:03:00,Santa Casa de FRanca,2705982,23/06/2025,,115,100,8,7,81,53,14,3,24,27,0,0,48,36,2,6,24,18,1,0,36,31,0,0,,17,0,14,1,https://drive.google.com/open?id=1q7iWSr_XUdeEprF2AsbaZ0RwWU1W3nuM,,,,,,
24/06/2025 12:18:00,Santa Casa de Ituverava,2751704,24/06/2025,,30,29,19,3,11,2,8,3,5,1,3,2,9,6,1,3,0,0,0,0,12,1,10,1,,0,0,0,0,https://drive.google.com/open?id=12meB_wlz8PXClFvDP70QfcCjr7lAIup0,,,,,,
24/06/2025 13:43:00,Santa Casa de Franca,2705982,24.06.2025,,115,100,8,7,81,53,14,3,24,27,0,0,48,36,2,6,24,18,1,0,36,31,0,0,,17,0,14,1,https://drive.google.com/open?id=1Ry8MIy9uH6iI30K8tXf3QpQu27EWzNOn,,,,,,
24/06/2025 13:43:00,SANTA CASA DE MISERICORDIA DE SÃƒO JOAQUIM DA BARRA,2080044,24/06/2025,,44,29,16,5,10,10,7,4,4,0,2,0,8,8,2,2,0,0,0,0,12,0,8,0,,0,0,0,0,https://drive.google.com/open?id=1l_idVNFWvgtPRSbxOP3f3FlWDS5FRYDv,,,,,,
25/06/2025 11:04:00,Santa Casa Ituverava,2751704,25/06/2025,,30,23,19,2,11,3,8,4,5,1,3,0,9,6,1,4,0,0,0,0,12,2,10,1,,0,0,0,0,https://drive.google.com/open?id=1u_E-pSPHUd8tAK2eXT2EJ1HVvsyUMSKN,,,,,,
25/06/2025 14:22:00,Santa Casa de Franca,2705982,25.06.2025,,115,93,8,7,81,63,14,7,24,20,0,0,48,41,2,6,24,18,1,0,36,32,0,0,,17,0,14,1,https://drive.google.com/open?id=1laaHGhIJqfd5Q7nq2ITnjC9-r7cxVGWM,,,,,,
26/06/2025 10:34:00,Santa Casa de Ituverava,2751704,26.06.2025,,30,23,19,7,11,6,8,3,5,2,3,0,9,7,1,3,0,0,0,0,12,3,10,0,,0,0,0,0,https://drive.google.com/open?id=1Azk_BpdMy6YBmfKS0iCEuad7sv7RG3xz,,,,,,
26/06/2025 13:37:00,Santa Casa de Franca,2705982,26/06/2025,,115,94,8,7,81,67,14,6,24,23,0,0,48,40,2,5,24,21,1,0,36,34,0,0,,17,0,13,1,https://drive.google.com/open?id=1YAjBMKGPg8hdpByertOXOMLqXCIXR5ZA,,,,,,
26/06/2025 14:55:00,SANTA CASA DE MISERICORDIA DE SÃƒO JOAQUIM DA BARRA,2080044,26.06.2025,,44,28,16,7,10,7,7,4,4,0,2,0,8,8,2,2,0,0,0,0,12,1,8,1,,0,0,0,0,https://drive.google.com/open?id=1KRlAT3Hbr1h8W8ySp6ntzXuNig2nYmau,,,,,,
